order_id,tracking_number,event_type,event_at,carrier
O-1001,TRK-001,Delivered,2026-08-04T15:00:00Z,ParcelPro
O-1001,TRK-001,Shipped,2026-08-02T08:00:00Z,ParcelPro
O-1002,TRK-002,Delivered,2026-08-12T12:00:00Z,FastShip
O-1004,TRK-004,Shipped,2026-08-05T09:00:00Z,ParcelPro
O-1004,TRK-004,InTransit,2026-08-09T09:00:00Z,ParcelPro
O-1005,TRK-005,Shipped,2026-08-05T10:00:00Z,FastShip
O-1005,TRK-005,Exception,,FastShip
O-1006,TRK-006,Delivered,2026-08-05T18:00:00Z,ParcelPro
O-1007,,Delivered,2026-08-07T18:00:00Z,ParcelPro
O-1008,TRK-008,Shipped,2026-08-08T14:00:00Z,FastShip
O-1008,TRK-008,Delivered,2026-08-15T14:00:00Z,FastShip
O-1009,TRK-009,Delivered,not-a-date,FastShip
O-9999,TRK-999,Delivered,2026-08-10T10:00:00Z,ParcelPro
O-1004,TRK-004,Delivered,2026-08-20T09:00:00Z,ParcelPro
